"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"14718","531","8600000US02420","ZCTA5 02420"
"18622","527","8600000US02421","ZCTA5 02421"
"21074","843","8600000US02445","ZCTA5 02445"
"29862","786","8600000US02446","ZCTA5 02446"
"18246","657","8600000US02451","ZCTA5 02451"
"14909","695","8600000US02452","ZCTA5 02452"
"29505","792","8600000US02453","ZCTA5 02453"
"1752","199","8600000US02457","ZCTA5 02457"
"12778","613","8600000US02458","ZCTA5 02458"
"19012","794","8600000US02459","ZCTA5 02459"
"9773","733","8600000US02460","ZCTA5 02460"
"7084","550","8600000US02461","ZCTA5 02461"
"1389","256","8600000US02462","ZCTA5 02462"
"3326","311","8600000US02464","ZCTA5 02464"
"11814","612","8600000US02465","ZCTA5 02465"
"8929","506","8600000US02466","ZCTA5 02466"
"22269","921","8600000US02467","ZCTA5 02467"
"5623","315","8600000US02468","ZCTA5 02468"
"35518","89","8600000US02472","ZCTA5 02472"
"27878","577","8600000US02474","ZCTA5 02474"
"17426","577","8600000US02476","ZCTA5 02476"
"26099","34","8600000US02478","ZCTA5 02478"
"16140","461","8600000US02481","ZCTA5 02481"
"10855","445","8600000US02482","ZCTA5 02482"
"20571","428","8600000US02492","ZCTA5 02492"
"12112","25","8600000US02493","ZCTA5 02493"
"10399","429","8600000US02494","ZCTA5 02494"
