"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.2916","0.0905","8600000US01242","ZCTA5 01242"
"0.4500","0.1042","8600000US01243","ZCTA5 01243"
"0.3500","0.1750","8600000US01244","ZCTA5 01244"
"0.4488","0.0624","8600000US01245","ZCTA5 01245"
"0.4530","0.0364","8600000US01247","ZCTA5 01247"
"0.3980","0.0521","8600000US01253","ZCTA5 01253"
"0.5610","0.0819","8600000US01254","ZCTA5 01254"
"0.4334","0.0423","8600000US01255","ZCTA5 01255"
"0.4338","0.0554","8600000US01256","ZCTA5 01256"
"0.5212","0.0852","8600000US01257","ZCTA5 01257"
"0.4611","0.0513","8600000US01258","ZCTA5 01258"
"0.4447","0.0880","8600000US01259","ZCTA5 01259"
"0.4001","0.1561","8600000US01260","ZCTA5 01260"
"0.5638","0.0656","8600000US01262","ZCTA5 01262"
"0.5938","0.0929","8600000US01264","ZCTA5 01264"
"0.5155","0.0454","8600000US01266","ZCTA5 01266"
"0.4200","0.0289","8600000US01267","ZCTA5 01267"
"0.4630","0.0512","8600000US01270","ZCTA5 01270"
"0.4630","0.0351","8600000US01301","ZCTA5 01301"
"0.4631","0.0559","8600000US01330","ZCTA5 01330"
"0.4118","0.0210","8600000US01331","ZCTA5 01331"
"0.4172","0.0291","8600000US01337","ZCTA5 01337"
"0.1458","0.0400","8600000US01338","ZCTA5 01338"
"0.4601","0.0464","8600000US01339","ZCTA5 01339"
"0.3751","0.0326","8600000US01340","ZCTA5 01340"
"0.4512","0.0796","8600000US01341","ZCTA5 01341"
"0.3900","0.1266","8600000US01342","ZCTA5 01342"
"0.2189","0.1371","8600000US01343","ZCTA5 01343"
"0.3923","0.0307","8600000US01344","ZCTA5 01344"
"0.3571","0.1201","8600000US01346","ZCTA5 01346"
"0.3966","0.2251","8600000US01347","ZCTA5 01347"
"0.3423","0.0656","8600000US01349","ZCTA5 01349"
"0.4802","0.1149","8600000US01350","ZCTA5 01350"
"0.3027","0.0527","8600000US01351","ZCTA5 01351"
"0.4131","0.0456","8600000US01354","ZCTA5 01354"
"0.3968","0.0542","8600000US01355","ZCTA5 01355"
"0.4223","0.0535","8600000US01360","ZCTA5 01360"
"0.4031","0.0248","8600000US01364","ZCTA5 01364"
"0.4065","0.0474","8600000US01366","ZCTA5 01366"
"0.3924","0.0796","8600000US01367","ZCTA5 01367"
"0.3599","0.0635","8600000US01368","ZCTA5 01368"
"0.4515","0.0374","8600000US01370","ZCTA5 01370"
"0.4315","0.0633","8600000US01373","ZCTA5 01373"
"0.4265","0.0537","8600000US01375","ZCTA5 01375"
"0.4337","0.0421","8600000US01376","ZCTA5 01376"
"0.3901","0.0379","8600000US01378","ZCTA5 01378"
"0.4338","0.0672","8600000US01379","ZCTA5 01379"
"0.4277","0.0155","8600000US01420","ZCTA5 01420"
"0.3329","0.0385","8600000US01430","ZCTA5 01430"
"0.3668","0.0498","8600000US01431","ZCTA5 01431"
"0.3809","0.0357","8600000US01432","ZCTA5 01432"
"0.3692","0.1169","8600000US01434","ZCTA5 01434"
"0.4938","0.1449","8600000US01436","ZCTA5 01436"
"0.2019","0.0975","8600000US01438","ZCTA5 01438"
"0.4235","0.0197","8600000US01440","ZCTA5 01440"
"0.4234","0.0342","8600000US01450","ZCTA5 01450"
"0.4080","0.0534","8600000US01451","ZCTA5 01451"
"0.3535","0.0342","8600000US01452","ZCTA5 01452"
"0.4477","0.0209","8600000US01453","ZCTA5 01453"
"0.4088","0.0284","8600000US01460","ZCTA5 01460"
"0.3841","0.0337","8600000US01462","ZCTA5 01462"
"0.4195","0.0383","8600000US01463","ZCTA5 01463"
"0.4223","0.0460","8600000US01464","ZCTA5 01464"
"0.5146","0.1923","8600000US01467","ZCTA5 01467"
"0.4232","0.0818","8600000US01468","ZCTA5 01468"
"0.3803","0.0443","8600000US01469","ZCTA5 01469"
"0.3863","0.0438","8600000US01473","ZCTA5 01473"
"0.3814","0.0609","8600000US01474","ZCTA5 01474"
"0.3886","0.0485","8600000US01475","ZCTA5 01475"
"0.4122","0.0247","8600000US01501","ZCTA5 01501"
"0.4604","0.0471","8600000US01503","ZCTA5 01503"
"0.3907","0.0295","8600000US01504","ZCTA5 01504"
"0.4123","0.0284","8600000US01505","ZCTA5 01505"
"0.4147","0.0415","8600000US01506","ZCTA5 01506"
"0.3499","0.0308","8600000US01507","ZCTA5 01507"
"0.3706","0.0204","8600000US01510","ZCTA5 01510"
"0.3410","0.0264","8600000US01515","ZCTA5 01515"
"0.3489","0.0381","8600000US01516","ZCTA5 01516"
"0.4511","0.0650","8600000US01518","ZCTA5 01518"
"0.4102","0.0441","8600000US01519","ZCTA5 01519"
"0.3901","0.0218","8600000US01520","ZCTA5 01520"
"0.4363","0.0787","8600000US01521","ZCTA5 01521"
"0.3576","0.0641","8600000US01522","ZCTA5 01522"
"0.3596","0.0386","8600000US01523","ZCTA5 01523"
"0.3903","0.0588","8600000US01524","ZCTA5 01524"
"0.3017","0.1573","8600000US01525","ZCTA5 01525"
"0.4175","0.0400","8600000US01527","ZCTA5 01527"
"0.4215","0.0469","8600000US01529","ZCTA5 01529"
"0.3346","0.0335","8600000US01531","ZCTA5 01531"
"0.4754","0.0365","8600000US01532","ZCTA5 01532"
"0.3740","0.0290","8600000US01534","ZCTA5 01534"
"0.3969","0.0613","8600000US01535","ZCTA5 01535"
"0.4333","0.0497","8600000US01536","ZCTA5 01536"
"0.3090","0.0447","8600000US01537","ZCTA5 01537"
"0.3805","0.0268","8600000US01540","ZCTA5 01540"
"0.4192","0.0506","8600000US01541","ZCTA5 01541"
"0.4022","0.0773","8600000US01542","ZCTA5 01542"
"0.3269","0.0348","8600000US01543","ZCTA5 01543"
"0.4055","0.0197","8600000US01545","ZCTA5 01545"
"0.4520","0.0203","8600000US01550","ZCTA5 01550"
"0.4430","0.0340","8600000US01560","ZCTA5 01560"
"-","**","8600000US01561","ZCTA5 01561"
"0.4120","0.0325","8600000US01562","ZCTA5 01562"
"0.4111","0.0469","8600000US01564","ZCTA5 01564"
"0.3697","0.0338","8600000US01566","ZCTA5 01566"
"0.4291","0.0472","8600000US01568","ZCTA5 01568"
"0.3530","0.0288","8600000US01569","ZCTA5 01569"
"0.4431","0.0302","8600000US01570","ZCTA5 01570"
"0.4255","0.0350","8600000US01571","ZCTA5 01571"
"0.4454","0.0292","8600000US01581","ZCTA5 01581"
"0.4217","0.0348","8600000US01583","ZCTA5 01583"
"0.4368","0.0520","8600000US01585","ZCTA5 01585"
