"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US01236","1509","964","0","964","545","0","ZCTA5 01236"
"8600000US01237","2496","478","478","0","2018","0","ZCTA5 01237"
"8600000US01238","6047","4500","0","4500","1547","0","ZCTA5 01238"
"8600000US01240","4534","3084","608","2476","1450","0","ZCTA5 01240"
"8600000US01242","476","476","0","476","0","0","ZCTA5 01242"
"8600000US01243","334","0","0","0","334","0","ZCTA5 01243"
"8600000US01244","151","0","0","0","151","0","ZCTA5 01244"
"8600000US01245","985","0","0","0","985","0","ZCTA5 01245"
"8600000US01247","16087","12287","12","12275","3800","0","ZCTA5 01247"
"8600000US01253","731","0","0","0","731","0","ZCTA5 01253"
"8600000US01254","972","0","0","0","972","0","ZCTA5 01254"
"8600000US01255","915","0","0","0","915","0","ZCTA5 01255"
"8600000US01256","692","0","0","0","692","0","ZCTA5 01256"
"8600000US01257","2121","0","0","0","2121","0","ZCTA5 01257"
"8600000US01258","374","0","0","0","374","0","ZCTA5 01258"
"8600000US01259","635","0","0","0","635","0","ZCTA5 01259"
"8600000US01260","240","62","0","62","178","0","ZCTA5 01260"
"8600000US01262","1238","535","0","535","703","0","ZCTA5 01262"
"8600000US01264","137","0","0","0","137","0","ZCTA5 01264"
"8600000US01266","1463","0","0","0","1463","0","ZCTA5 01266"
"8600000US01267","7989","5743","0","5743","2246","0","ZCTA5 01267"
"8600000US01270","778","0","0","0","778","0","ZCTA5 01270"
"8600000US01301","17700","15544","0","15544","2156","0","ZCTA5 01301"
"8600000US01330","1506","0","0","0","1506","0","ZCTA5 01330"
"8600000US01331","13263","7985","0","7985","5278","0","ZCTA5 01331"
"8600000US01337","2596","0","0","0","2596","0","ZCTA5 01337"
"8600000US01338","187","0","0","0","187","0","ZCTA5 01338"
"8600000US01339","1438","0","0","0","1438","0","ZCTA5 01339"
"8600000US01340","1701","0","0","0","1701","0","ZCTA5 01340"
"8600000US01341","1833","0","0","0","1833","0","ZCTA5 01341"
"8600000US01342","1492","556","0","556","936","0","ZCTA5 01342"
"8600000US01343","75","0","0","0","75","0","ZCTA5 01343"
"8600000US01344","1498","489","0","489","1009","0","ZCTA5 01344"
"8600000US01346","533","0","0","0","533","0","ZCTA5 01346"
"8600000US01347","166","0","0","0","166","0","ZCTA5 01347"
"8600000US01349","1091","766","0","766","325","0","ZCTA5 01349"
"8600000US01350","121","0","0","0","121","0","ZCTA5 01350"
"8600000US01351","2270","148","0","148","2122","0","ZCTA5 01351"
"8600000US01354","1500","215","0","215","1285","0","ZCTA5 01354"
"8600000US01355","878","0","0","0","878","0","ZCTA5 01355"
"8600000US01360","3032","0","0","0","3032","0","ZCTA5 01360"
"8600000US01364","7969","4849","0","4849","3120","0","ZCTA5 01364"
"8600000US01366","1277","0","0","0","1277","0","ZCTA5 01366"
"8600000US01367","522","0","0","0","522","0","ZCTA5 01367"
"8600000US01368","1261","0","0","0","1261","0","ZCTA5 01368"
"8600000US01370","4084","0","0","0","4084","0","ZCTA5 01370"
"8600000US01373","4600","1923","0","1923","2677","0","ZCTA5 01373"
"8600000US01375","3684","2786","0","2786","898","0","ZCTA5 01375"
"8600000US01376","5247","5247","0","5247","0","0","ZCTA5 01376"
"8600000US01378","774","0","0","0","774","0","ZCTA5 01378"
"8600000US01379","813","0","0","0","813","0","ZCTA5 01379"
"8600000US01420","40337","37234","37234","0","3103","0","ZCTA5 01420"
"8600000US01430","6089","602","602","0","5487","0","ZCTA5 01430"
"8600000US01431","3074","362","362","0","2712","0","ZCTA5 01431"
"8600000US01432","7089","6790","6790","0","299","0","ZCTA5 01432"
"8600000US01434","1795","1795","1795","0","0","0","ZCTA5 01434"
"8600000US01436","3336","2626","2626","0","710","0","ZCTA5 01436"
"8600000US01438","559","514","514","0","45","0","ZCTA5 01438"
"8600000US01440","20347","19309","19309","0","1038","0","ZCTA5 01440"
"8600000US01450","10646","6587","6587","0","4059","0","ZCTA5 01450"
"8600000US01451","4747","79","79","0","4668","0","ZCTA5 01451"
"8600000US01452","4382","0","0","0","4382","0","ZCTA5 01452"
"8600000US01453","40883","39504","39504","0","1379","0","ZCTA5 01453"
"8600000US01460","8924","8149","8149","0","775","0","ZCTA5 01460"
"8600000US01462","10086","7034","7034","0","3052","0","ZCTA5 01462"
"8600000US01463","11497","6620","6620","0","4877","0","ZCTA5 01463"
"8600000US01464","7211","5287","5287","0","1924","0","ZCTA5 01464"
"8600000US01467","316","0","0","0","316","0","ZCTA5 01467"
"8600000US01468","4021","877","877","0","3144","0","ZCTA5 01468"
"8600000US01469","6801","3362","3362","0","3439","0","ZCTA5 01469"
"8600000US01473","7277","3224","3224","0","4053","0","ZCTA5 01473"
"8600000US01474","2125","935","935","0","1190","0","ZCTA5 01474"
"8600000US01475","10270","5961","5961","0","4309","0","ZCTA5 01475"
"8600000US01501","16075","15317","15317","0","758","0","ZCTA5 01501"
"8600000US01503","2866","992","992","0","1874","0","ZCTA5 01503"
"8600000US01504","9026","8380","8380","0","646","0","ZCTA5 01504"
"8600000US01505","4355","2417","2417","0","1938","0","ZCTA5 01505"
"8600000US01506","3390","1132","0","1132","2258","0","ZCTA5 01506"
"8600000US01507","12981","3723","3723","0","9258","0","ZCTA5 01507"
"8600000US01510","13606","13601","13601","0","5","0","ZCTA5 01510"
"8600000US01515","2183","1252","0","1252","931","0","ZCTA5 01515"
