"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"30457","7975","8600000US01107","ZCTA5 01107"
"41807","5902","8600000US01108","ZCTA5 01108"
"35000","3566","8600000US01109","ZCTA5 01109"
"70296","7503","8600000US01118","ZCTA5 01118"
"48324","5620","8600000US01119","ZCTA5 01119"
"67422","19600","8600000US01128","ZCTA5 01128"
"61769","9828","8600000US01129","ZCTA5 01129"
"44291","2129","8600000US01151","ZCTA5 01151"
"-","**","8600000US01199","ZCTA5 01199"
"57160","3017","8600000US01201","ZCTA5 01201"
"47908","5343","8600000US01220","ZCTA5 01220"
"58668","17032","8600000US01222","ZCTA5 01222"
"66161","15840","8600000US01223","ZCTA5 01223"
"-","**","8600000US01224","ZCTA5 01224"
"72119","14337","8600000US01225","ZCTA5 01225"
"73911","8249","8600000US01226","ZCTA5 01226"
"-","**","8600000US01229","ZCTA5 01229"
"68690","10584","8600000US01230","ZCTA5 01230"
"67404","9833","8600000US01235","ZCTA5 01235"
"63696","9238","8600000US01236","ZCTA5 01236"
"76579","19270","8600000US01237","ZCTA5 01237"
"77455","25674","8600000US01238","ZCTA5 01238"
"72802","26118","8600000US01240","ZCTA5 01240"
"-","**","8600000US01242","ZCTA5 01242"
"62708","22138","8600000US01243","ZCTA5 01243"
"50104","7092","8600000US01244","ZCTA5 01244"
"109063","44717","8600000US01245","ZCTA5 01245"
"52398","5554","8600000US01247","ZCTA5 01247"
"88487","5500","8600000US01253","ZCTA5 01253"
"96563","8061","8600000US01254","ZCTA5 01254"
"77000","12430","8600000US01255","ZCTA5 01255"
"47200","7946","8600000US01256","ZCTA5 01256"
"64375","28093","8600000US01257","ZCTA5 01257"
"74375","38440","8600000US01258","ZCTA5 01258"
"78625","26844","8600000US01259","ZCTA5 01259"
"107614","100635","8600000US01260","ZCTA5 01260"
"39286","21388","8600000US01262","ZCTA5 01262"
"68750","15210","8600000US01264","ZCTA5 01264"
"77500","7105","8600000US01266","ZCTA5 01266"
"91917","12369","8600000US01267","ZCTA5 01267"
"86912","9795","8600000US01270","ZCTA5 01270"
"46931","4569","8600000US01301","ZCTA5 01301"
"72609","9857","8600000US01330","ZCTA5 01330"
"61949","5741","8600000US01331","ZCTA5 01331"
"69853","8909","8600000US01337","ZCTA5 01337"
"64667","23043","8600000US01338","ZCTA5 01338"
"60438","11729","8600000US01339","ZCTA5 01339"
"60313","9865","8600000US01340","ZCTA5 01340"
"92500","16571","8600000US01341","ZCTA5 01341"
"103000","38043","8600000US01342","ZCTA5 01342"
"73125","21173","8600000US01343","ZCTA5 01343"
"63333","16987","8600000US01344","ZCTA5 01344"
"93400","10971","8600000US01346","ZCTA5 01346"
"-","**","8600000US01347","ZCTA5 01347"
"75417","25836","8600000US01349","ZCTA5 01349"
"-","**","8600000US01350","ZCTA5 01350"
"97054","10140","8600000US01351","ZCTA5 01351"
"68173","10224","8600000US01354","ZCTA5 01354"
"69038","3081","8600000US01355","ZCTA5 01355"
"75900","20535","8600000US01360","ZCTA5 01360"
"53949","6681","8600000US01364","ZCTA5 01364"
"71818","13184","8600000US01366","ZCTA5 01366"
"69375","12713","8600000US01367","ZCTA5 01367"
"86607","13585","8600000US01368","ZCTA5 01368"
"61711","6525","8600000US01370","ZCTA5 01370"
"82105","14319","8600000US01373","ZCTA5 01373"
"54524","12191","8600000US01375","ZCTA5 01375"
"41369","10655","8600000US01376","ZCTA5 01376"
"68839","8479","8600000US01378","ZCTA5 01378"
"62813","10344","8600000US01379","ZCTA5 01379"
"54683","4410","8600000US01420","ZCTA5 01420"
"113045","21708","8600000US01430","ZCTA5 01430"
"97269","11164","8600000US01431","ZCTA5 01431"
"99195","11696","8600000US01432","ZCTA5 01432"
"96500","49271","8600000US01434","ZCTA5 01434"
"70662","46414","8600000US01436","ZCTA5 01436"
"100579","29037","8600000US01438","ZCTA5 01438"
"51708","5564","8600000US01440","ZCTA5 01440"
"142500","24422","8600000US01450","ZCTA5 01450"
"177422","27231","8600000US01451","ZCTA5 01451"
"100255","15565","8600000US01452","ZCTA5 01452"
"63263","5243","8600000US01453","ZCTA5 01453"
"125275","13084","8600000US01460","ZCTA5 01460"
"99601","7610","8600000US01462","ZCTA5 01462"
"105377","7020","8600000US01463","ZCTA5 01463"
"89247","20640","8600000US01464","ZCTA5 01464"
